iter	Passed	Remaining
0	31	15911
1	52	13117
2	87	14518
3	121	15029
4	150	14859
5	183	15123
6	211	14898
7	244	15051
8	272	14841
9	296	14532
10	327	14546
11	356	14496
12	383	14374
13	430	14945
14	470	15204
15	494	14968
16	522	14848
17	553	14819
18	577	14626
19	607	14570
20	634	14480
21	657	14289
22	690	14325
23	713	14146
24	746	14176
25	777	14173
26	806	14137
27	832	14037
28	865	14064
29	891	13960
30	912	13809
31	943	13801
32	981	13884
33	1009	13830
34	1048	13936
35	1074	13843
36	1098	13752
37	1137	13826
38	1182	13980
39	1233	14188
40	1251	14014
41	1286	14028
42	1319	14025
43	1341	13907
44	1368	13833
45	1395	13772
46	1422	13706
47	1458	13734
48	1487	13688
49	1521	13690
50	1544	13595
51	1575	13577
52	1599	13487
53	1643	13571
54	1683	13619
55	1725	13683
56	1756	13651
57	1800	13717
58	1826	13655
59	1869	13707
60	1891	13614
61	1918	13554
62	1944	13489
63	1970	13427
64	2026	13563
65	2064	13575
66	2091	13519
67	2132	13547
68	2157	13476
69	2185	13424
70	2233	13494
71	2273	13513
72	2302	13467
73	2335	13445
74	2362	13389
75	2411	13455
76	2452	13474
77	2482	13428
78	2510	13379
79	2533	13301
80	2560	13246
81	2595	13232
82	2636	13246
83	2663	13191
84	2691	13139
85	2730	13145
86	2768	13141
87	2795	13087
88	2825	13048
89	2864	13050
90	2892	13002
91	2928	12989
92	2970	13000
93	3013	13014
94	3052	13015
95	3077	12953
96	3107	12908
97	3134	12857
98	3164	12817
99	3209	12837
100	3238	12795
101	3284	12816
102	3324	12813
103	3353	12769
104	3380	12717
105	3410	12677
106	3472	12754
107	3501	12710
108	3538	12693
109	3583	12704
110	3623	12700
111	3659	12678
112	3712	12713
113	3752	12706
114	3782	12661
115	3813	12623
116	3851	12606
117	3884	12574
118	3916	12539
119	3970	12574
120	4000	12529
121	4030	12486
122	4059	12443
123	4091	12405
124	4121	12365
125	4152	12325
126	4182	12284
127	4211	12239
128	4241	12197
129	4266	12142
130	4296	12101
131	4336	12090
132	4387	12107
133	4428	12095
134	4465	12073
135	4521	12101
136	4550	12055
137	4575	12003
138	4621	12001
139	4648	11953
140	4679	11913
141	4713	11882
142	4743	11841
143	4782	11823
144	4810	11776
145	4838	11731
146	4866	11685
147	4876	11598
148	4901	11547
149	4928	11500
150	4979	11509
151	5009	11468
152	5037	11424
153	5068	11388
154	5099	11350
155	5127	11307
156	5155	11264
157	5183	11220
158	5221	11199
159	5250	11158
160	5284	11126
161	5316	11093
162	5343	11047
163	5373	11008
164	5402	10967
165	5448	10961
166	5478	10923
167	5507	10884
168	5552	10875
169	5584	10839
170	5622	10818
171	5650	10775
172	5677	10731
173	5707	10692
174	5737	10655
175	5767	10616
176	5806	10595
177	5829	10545
178	5857	10505
179	5903	10495
180	5932	10455
181	5974	10438
182	6000	10394
183	6030	10357
184	6059	10318
185	6089	10280
186	6118	10241
187	6169	10238
188	6212	10223
189	6248	10194
190	6279	10158
191	6309	10120
192	6338	10082
193	6381	10065
194	6413	10032
195	6454	10010
196	6479	9966
197	6518	9942
198	6530	9878
199	6564	9847
200	6612	9836
201	6655	9818
202	6704	9808
203	6737	9775
204	6764	9734
205	6793	9695
206	6823	9658
207	6835	9595
208	6861	9554
209	6889	9514
210	6918	9476
211	6974	9474
212	7004	9438
213	7037	9405
214	7068	9369
215	7097	9331
216	7129	9297
217	7158	9259
218	7181	9215
219	7210	9177
220	7237	9137
221	7264	9097
222	7309	9079
223	7338	9041
224	7369	9007
225	7400	8971
226	7431	8937
227	7469	8910
228	7499	8875
229	7528	8838
230	7565	8809
231	7604	8784
232	7633	8746
233	7669	8718
234	7697	8679
235	7727	8643
236	7745	8594
237	7784	8569
238	7848	8570
239	7878	8535
240	7911	8502
241	7941	8466
242	7971	8430
243	8001	8394
244	8033	8361
245	8066	8328
246	8092	8289
247	8131	8263
248	8163	8228
249	8221	8221
250	8250	8184
251	8290	8158
252	8318	8121
253	8346	8083
254	8377	8048
255	8405	8011
256	8434	7975
257	8469	7944
258	8501	7910
259	8539	7882
260	8568	7846
261	8598	7811
262	8628	7775
263	8656	7738
264	8689	7705
265	8717	7668
266	8745	7632
267	8776	7597
268	8803	7559
269	8830	7522
270	8859	7486
271	8887	7449
272	8919	7416
273	8945	7378
274	8975	7343
275	9000	7304
276	9032	7271
277	9086	7256
278	9120	7224
279	9155	7193
280	9183	7157
281	9212	7121
282	9253	7095
283	9280	7058
284	9308	7022
285	9336	6986
286	9365	6950
287	9395	6915
288	9432	6886
289	9463	6852
290	9492	6817
291	9516	6778
292	9548	6745
293	9575	6709
294	9606	6675
295	9646	6648
296	9675	6612
297	9702	6576
298	9734	6543
299	9772	6515
300	9803	6481
301	9832	6446
302	9863	6412
303	9894	6379
304	9923	6344
305	9952	6309
306	9984	6276
307	10021	6247
308	10052	6213
309	10091	6185
310	10123	6152
311	10157	6120
312	10211	6100
313	10241	6066
314	10270	6031
315	10296	5995
316	10326	5961
317	10353	5925
318	10380	5889
319	10410	5856
320	10447	5825
321	10485	5796
322	10526	5768
323	10567	5740
324	10596	5705
325	10626	5671
326	10656	5637
327	10686	5604
328	10716	5570
329	10748	5536
330	10782	5505
331	10815	5472
332	10848	5440
333	10879	5407
334	10909	5373
335	10940	5339
336	10976	5309
337	11008	5276
338	11038	5242
339	11075	5212
340	11110	5180
341	11147	5150
342	11177	5116
343	11208	5082
344	11240	5049
345	11271	5016
346	11301	4983
347	11331	4949
348	11358	4914
349	11388	4880
350	11425	4850
351	11456	4817
352	11487	4783
353	11521	4751
354	11550	4717
355	11585	4686
356	11616	4652
357	11648	4620
358	11681	4588
359	11716	4556
360	11743	4521
361	11777	4489
362	11811	4457
363	11841	4424
364	11898	4400
365	11928	4367
366	11960	4334
367	11998	4303
368	12027	4269
369	12053	4235
370	12083	4201
371	12113	4168
372	12163	4141
373	12191	4107
374	12223	4074
375	12252	4040
376	12290	4009
377	12324	3977
378	12359	3945
379	12389	3912
380	12421	3879
381	12447	3845
382	12478	3812
383	12508	3778
384	12538	3745
385	12575	3714
386	12607	3681
387	12644	3649
388	12675	3616
389	12705	3583
390	12750	3554
391	12783	3521
392	12819	3490
393	12849	3457
394	12885	3425
395	12916	3392
396	12945	3358
397	12974	3325
398	13013	3294
399	13042	3260
400	13073	3227
401	13121	3198
402	13152	3165
403	13183	3132
404	13214	3099
405	13244	3066
406	13270	3032
407	13302	2999
408	13357	2971
409	13389	2939
410	13417	2905
411	13449	2872
412	13477	2839
413	13510	2806
414	13539	2773
415	13562	2738
416	13590	2705
417	13625	2672
418	13656	2640
419	13694	2608
420	13726	2575
421	13757	2542
422	13794	2511
423	13828	2478
424	13860	2445
425	13888	2412
426	13919	2379
427	13952	2347
428	13982	2314
429	14015	2281
430	14046	2248
431	14078	2216
432	14121	2185
433	14150	2151
434	14186	2119
435	14216	2086
436	14246	2053
437	14278	2021
438	14310	1988
439	14343	1955
440	14371	1922
441	14401	1889
442	14429	1856
443	14459	1823
444	14490	1790
445	14550	1761
446	14582	1729
447	14614	1696
448	14642	1663
449	14682	1631
450	14714	1598
451	14753	1566
452	14788	1534
453	14825	1502
454	14858	1469
455	14893	1437
456	14925	1404
457	14956	1371
458	14985	1338
459	15015	1305
460	15045	1272
461	15073	1239
462	15103	1207
463	15135	1174
464	15169	1141
465	15200	1109
466	15231	1076
467	15263	1043
468	15295	1010
469	15329	978
470	15368	946
471	15399	913
472	15422	880
473	15471	848
474	15501	815
475	15531	783
476	15564	750
477	15620	718
478	15653	686
479	15706	654
480	15738	621
481	15765	588
482	15809	556
483	15841	523
484	15871	490
485	15925	458
486	15959	426
487	16001	393
488	16038	360
489	16070	327
490	16110	295
491	16133	262
492	16163	229
493	16201	196
494	16228	163
495	16260	131
496	16288	98
497	16318	65
498	16345	32
499	16376	0
